tech,Technology,Type,RET
BENBIOCHP03N,Biomass & Waste CHP plant - NDT cooling (new),Power plant,Y
BENBIOCHP04N,Biomass & Waste CHP plant - OTF/OTS cooling (new),Power plant,Y
BENCHAIMP00X,Charcoal imports,Extraction/Import,N
BENCOAIMP00X,Coal imports (inland transport, maritime freight),
BENCOAEMP00X,Coal exports,Exports,
BENCOADIP00X,Coal process (non-power sector),Conversion,
BENCOAPRP00X,Coal extraction (mining),Extraction/Import,N
BENCOASCC01N,Coal power plant with CCS - Air cooling (new),Power plant,N
BENCOASCC02N,Coal power plant with CCS - MDT cooling (new),Power plant,N
BENCOASCC03N,Coal power plant with CCS - NDT cooling (new),Power plant,N
BENCOASCC04N,Coal power plant with CCS - OTF/OTS cooling (new),Power plant,N
BENCOASCP01O,Coal power plant - Air cooling (old),Power plant,N
BENCOASCP02O,Coal power plant - MDT cooling (old),Power plant,N
BENCOASCP03O,Coal power plant - NDT cooling (old),Power plant,N
BENCOASCP04O,Coal power plant - OTF/OTS cooling (old),Power plant,N
BENCOASCP01N,Coal power plant - Air cooling (new),Power plant,N
BENCOASCP02N,Coal power plant - MDT cooling (new),Power plant,N
BENCOASCP03N,Coal power plant - NDT cooling (new),Power plant,N
BENCOASCP04N,Coal power plant - OTF/OTS cooling (new),Power plant,N
BENCO1IMP00X,Crude Oil imports,Extraction/Import,N
BENCO1DIP00X,Crude Oil process (non-power sector),Conversion,
BENCO1PRP00X,Crude Oil extraction,Extraction/Import,N
BENCO1EXP00X,Crude Oil exports,Exports,
BENCO1RCP00X,Crude oil refinery capacity,Conversion,
BENCO1R1P00X,Crude oil refinery 1,Conversion,
BENCO1R2P00X,Crude oil refinery 2,Conversion,
BENEL1TRP00X,Transmission technology (Secondary to Tertiary),Transmission,N
BENEL2DIP00X,Distribution technology (Distribution to final electricity demand),Distribution,
BENEL3DIP00X,Distribution technology (Distribution to final current-unelectrified demand),Distribution,
BENEL4DIP00X,Distribution technology (Distribution Mini-grid to final current-unelectrified demand),Distribution,
BENETHPRP00X,Ethanol production,Extraction/Import,N
BENBIODIP00X,Firewood process (non-power sector),Conversion,
BENGEOCVP01O,Geothermal power plant - Air cooling (old),Power plant,Y
BENGEOCVP02O,Geothermal power plant - MDT cooling (old),Power plant,Y
BENGEOCVP03O,Geothermal power plant - NDT cooling (old),Power plant,Y
BENGEOCVP04O,Geothermal power plant - OTF/OTS cooling (old),Power plant,Y
BENGEOCVP01N,Geothermal power plant - Air cooling (new),Power plant,Y
BENGEOCVP02N,Geothermal power plant - MDT cooling (new),Power plant,Y
BENGEOCVP03N,Geothermal power plant - NDT cooling (new),Power plant,Y
BENGEOCVP04N,Geothermal power plant - OTF/OTS cooling (new),Power plant,Y
BENHE2DIP00X,Heat network,Transmission&Distribution,
BENHFOIMP00X,Heavy Fuel Oil imports,Extraction/Import,N
BENHFOEMP00X,Heavy Fuel Oil exports,Exports,
BENHFODIP00X,Heavy Fuel Oil process (non-power sector),Conversion,
BENHFOGCP01O,Oil fired gas turbine (SCGT) - Air cooling (old),Power plant,N
BENHFOGCP02O,Oil fired gas turbine (SCGT) - MDT cooling (old),Power plant,N
BENHFOGCP03O,Oil fired gas turbine (SCGT) - NDT cooling (old),Power plant,N
BENHFOGCP04O,Oil fired gas turbine (SCGT) - OTF/OTS cooling (old),Power plant,N
BENHFOGCP01N,Oil fired gas turbine (SCGT) - Air cooling (new),Power plant,N
BENHFOGCP02N,Oil fired gas turbine (SCGT) - MDT cooling (new),Power plant,N
BENHFOGCP03N,Oil fired gas turbine (SCGT) - NDT cooling (new),Power plant,N
BENHFOGCP04N,Oil fired gas turbine (SCGT) - OTF/OTS cooling (new),Power plant,N
BENHYDLSP00X,Large hydropower plant (Dam),Power plant,Y
BENHYDMSP00X,Medium hydropower plant (Run-of river),Power plant,Y
BENHYDSSP00X,Small hydropower plant,Power plant,Y
BENLFOIMP00X,Light Fuel Oil imports,Extraction/Import,N
BENLFOEMP00X,Light Fuel Oil exports,Exports,
BENLFODIP00X,Light Fuel Oil process (non-power sector),Conversion,
BENLFORCP00X,Light Fuel Oil stand alone (1kW),Power plant,N
BENLFORCP01O,Light Fuel Oil power plant - Air cooling (old),Power plant,N
BENLFORCP02O,Light Fuel Oil power plant - MDT cooling (old),Power plant,N
BENLFORCP03O,Light Fuel Oil power plant - NDT cooling (old),Power plant,N
BENLFORCP04O,Light Fuel Oil power plant - OTF/OTS cooling (old),Power plant,N
BENLFORCP01N,Light Fuel Oil power plant - Air cooling (new),Power plant,N
BENLFORCP02N,Light Fuel Oil power plant - MDT cooling (new),Power plant,N
BENLFORCP03N,Light Fuel Oil power plant - NDT cooling (new),Power plant,N
BENLFORCP04N,Light Fuel Oil power plant - OTF/OTS cooling (new),Power plant,N
BENNGAIMP00X,Natural gas imports (inland/offshore pipeline),Extraction/Import,N
BENLNGIMP00X,Natural gas imports (LNG),Extraction/Import,N
BENLNGEXP00X,Natural gas exports (Liquification terminal),Exports_NG,
BENNGADIP00X,Natural gas process (non-power sector),Conversion,
BENNGAPRP00X,Natural gas extraction,Extraction/Import,N
BENNGACCC01N,Natural gas power plant (combined cycle) - CCS - Air cooling (new),Power plant,N
BENNGACCC02N,Natural gas power plant (combined cycle) - CCS  - MDT cooling (new),Power plant,N
BENNGACCC03N,Natural gas power plant (combined cycle) - CCS - NDT cooling (new),Power plant,N
BENNGACCC04N,Natural gas power plant (combined cycle) - CCS  - OTF/OTS cooling (new),Power plant,N
BENNGACCP01O,Natural gas power plant (combined cycle) - Air cooling (old),Power plant,N
BENNGACCP02O,Natural gas power plant (combined cycle) - MDT cooling (old),Power plant,N
BENNGACCP03O,Natural gas power plant (combined cycle) - NDT cooling (old),Power plant,N
BENNGACCP04O,Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Power plant,N
BENNGACCP01N,Natural gas power plant (combined cycle) - Air cooling (new),Power plant,N
BENNGACCP02N,Natural gas power plant (combined cycle) - MDT cooling (new),Power plant,N
BENNGACCP03N,Natural gas power plant (combined cycle) - NDT cooling (new),Power plant,N
BENNGACCP04N,Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Power plant,N
BENNGAGCP01O,Natural gas power plant (single cycle) - Air cooling (old),Power plant,N
BENNGAGCP02O,Natural gas power plant (single cycle) - MDT cooling (old),Power plant,N
BENNGAGCP03O,Natural gas power plant (single cycle) - NDT cooling (old),Power plant,N
BENNGAGCP04O,Natural gas power plant (single cycle) - OTF/OTS cooling (old),Power plant,N
BENNGAGCP01N,Natural gas power plant (single cycle) - Air cooling (new),Power plant,N
BENNGAGCP02N,Natural gas power plant (single cycle) - MDT cooling (new),Power plant,N
BENNGAGCP03N,Natural gas power plant (single cycle) - NDT cooling (new),Power plant,N
BENNGAGCP04N,Natural gas power plant (single cycle) - OTF/OTS cooling (new),Power plant,N
BENCHAPRP00X,Charcoal production,Extraction/Import,N
BENURNPWP01O,Nuclear power plant - OTS/OTF cooling (old),Power plant,Y
BENURNPWP01N,Nuclear power plant - OTS/OTF cooling (new),Power plant,Y
BENSOLCNP01X,CSP (without storage),Power plant,Y
BENSOLCSP01X,CSP (with storage),Power plant,Y
BENSOLARP00X,Solar potential,Extraction/Import,N
BENSOLPUP00X,Solar PV (utility),Power plant,Y
BENSOLPRP00X,Solar PV (roof top),Power plant,Y
BENSOLPSP00X,Solar PV with storage,Power plant,Y
BENURNIMP00X,Uranium imports,Extraction/Import,N
BENURNPRP00X,Uranium extraction,Extraction/Import,N
BENWA2PRP00X,Water production technology,Extraction/Import,N
BENWINPRP00X,Wind potential,Extraction/Import,N
BENWINONP00X,Wind (onshore),Power plant,Y
BENWINOFP00X,Wind (offshore),Power plant,Y
BENLFOMGRID1,Light Fuel Oil (mini-grid) Future electrified,Mini grid,N
BENLFOSALON1,Light Fuel Oil (Stand Alone) Future electrified,Stand alone,N
BENSOLMGRID1,Solar (Mini-Grid) Future electrified,Mini grid,Y
BENSOLPRSAL1,Solar (Stand Alone1) Future electrified,Stand alone,Y
BENSOLPRSAL2,Solar (Stand Alone2) Future electrified,Stand alone,Y
