Electrified,Tier,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,1,4564000,4746560,4936422.4,5133879.296,5339234.468,5552803.847,5774916,6005912.64,6246149.146,6495995.112,6755834.916,7026068.313,7307111.046,7599395.487,7903371.307,8219506.159,8548286.405,8890217.862,9245826.576,9615659.639,10000286.02
1,2,4564000,4815020,5082926.8,5369080.472,5674963.951,6002194.795,6352538.101,6727920.691,7130446.692,7562414.649,8026336.334,8524957.396,9061280.062,9638588.071,10260474.08,10930869.78,11654078.98,12434813.99,13278235.59,14189996.95,15176291.96
1,3,4564000,4883480,5229431.2,5604281.648,6010693.434,6451585.743,6930160.202,7449928.742,8014744.237,8628834.187,9296837.752,10023846.48,10815449.08,11677780.65,12617576.86,13642233.4,14759871.56,15979410.12,17310644.6,18764334.26,20352297.9
1,4,4564000,4951940,5375935.6,5839482.824,6346422.917,6900976.692,7507782.303,8171936.793,8899041.783,9695253.724,10567339.17,11522735.56,12569618.09,13716973.24,14974679.63,16353597.02,17865664.13,19524006.25,21343053.61,23338671.57,25528303.83
1,5,4564000,5020400,5522440,6074684,6682152.4,7350367.64,8085404.404,8893944.844,9783339.329,10761673.26,11837840.59,13021624.65,14323787.11,15756165.82,17331782.4,19064960.65,20971456.71,23068602.38,25375462.62,27913008.88,30704309.77
0,1,0,14669.56275,29339.12551,44008.68826,58678.25102,73347.81377,88017.37653,102686.9393,117356.502,132026.0648,146695.6275,152563.4526,158665.9908,165012.6304,171613.1356,178477.661,185616.7675,193041.4382,200763.0957,208793.6195,217145.3643
0,2,0,116823.0634,233646.1268,350469.1902,467292.2536,584115.3169,700938.3803,817761.4437,934584.5071,1051407.571,1168230.634,1214959.859,1263558.254,1314100.584,1366664.607,1421331.191,1478184.439,1537311.817,1598804.289,1662756.461,1729266.719
0,3,0,400078.9842,800157.9684,1200236.953,1600315.937,2000394.921,2400473.905,2800552.889,3200631.874,3600710.858,4000789.842,4160821.436,4327254.293,4500344.465,4680358.244,4867572.573,5062275.476,5264766.495,5475357.155,5694371.441,5922146.299
0,4,0,1129289.613,2258579.226,3387868.838,4517158.451,5646448.064,6775737.677,7905027.289,9034316.902,10163606.51,11292896.13,11744611.97,12214396.45,12702972.31,13211091.2,13739534.85,14289116.24,14860680.89,15455108.13,16073312.45,16716244.95
0,5,0,2133754.582,4267509.165,6401263.747,8535018.33,10668772.91,12802527.49,14936282.08,17070036.66,19203791.24,21337545.82,22191047.66,23078689.56,24001837.15,24961910.63,25960387.06,26998802.54,28078754.64,29201904.83,30369981.02,31584780.26
