Technology,Technology_name_OSeMOSYS,CF,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Wind,WI,0.25,1375.893614,1375.893614,1375.893614,1375.893614,1333.561106,1291.228598,1248.89609,1206.563582,1164.231074,1121.898566,1079.566058,1037.23355,994.9010422,952.5685342,910.2360262,901.1336659,892.0313056,882.9289454,873.8265851,864.7242249,855.6218646,846.5195043,837.4171441,828.3147838,819.2124236
Comm PV,SOMG,0.2,1806.462617,1806.462617,1806.462617,1806.462617,1762.429583,1677.411173,1592.392762,1507.374352,1422.355941,1337.337531,1252.31912,1167.300709,1082.282299,997.2638882,912.2454776,901.6495465,891.0536153,880.4576842,869.861753,859.2658219,848.6698908,838.0739596,827.4780285,816.8820973,806.2861662
PV,SOPV,0.21,2773.343622,2773.343622,2773.343622,2773.343622,2710.138689,2539.532665,2368.926642,2198.320618,2027.714594,1857.108571,1686.502547,1515.896524,1345.2905,1174.684476,1004.078453,992.9478938,981.8173348,970.6867759,959.5562169,948.4256579,937.295099,926.16454,915.0339811,903.9034221,892.7728631
Battery,4r,4r,4588.915218,4588.915218,4588.915218,4588.915218,4330.02199,4095.536157,3860.630596,3647.694348,3452.113062,3270.207021,3167.354368,3075.387825,2995.052765,2916.727138,2845.558947,2809.98946,2774.419974,2738.850487,2703.281,2667.711513,2632.142026,2596.572539,2561.003053,2525.433566,2489.864079
Battery,4c,4c,1974.519493,1974.519493,1974.519493,1974.519493,1851.287335,1735.884533,1620.22252,1511.672895,1408.766069,1310.321101,1261.192269,1217.562863,1180.183955,1144.50993,1112.164026,1098.261975,1084.359925,1070.457875,1056.555824,1042.653774,1028.751724,1014.849673,1000.947623,987.0455726,973.1435223
