Technology,Variable Cost,ModeofOperation
KEDSGEN_291,4.17,1
KEDSGEN_292,4.17,1
KEDSGEN_293,4.17,1
KEDSGEN_294,4.17,1
KEDSGEN_295,4.17,1
KEDSGEN_296,4.17,1
KEDSGEN_297,4.17,1
KEDSGEN_298,4.17,1
KEDSGEN_299,4.17,1
KEDSGEN_3,4.17,1
KEDSGEN_30,4.17,1
KEDSGEN_300,4.17,1
KEDSGEN_301,4.17,1
KEDSGEN_302,4.17,1
KEDSGEN_303,4.17,1
KEDSGEN_304,4.17,1
KEDSGEN_305,4.17,1
KEDSGEN_306,4.17,1
KEDSGEN_307,4.17,1
KEDSGEN_308,4.17,1
KEDSGEN_309,4.17,1
KEDSGEN_31,4.17,1
KEDSGEN_310,4.17,1
KEDSGEN_311,4.17,1
KEDSGEN_312,4.17,1
KEDSGEN_313,4.17,1
KEDSGEN_314,4.17,1
KEDSGEN_315,4.17,1
KEDSGEN_316,4.17,1
KEDSGEN_317,4.17,1
KEDSGEN_318,4.17,1
KEDSGEN_319,4.17,1
KEDSGEN_32,4.17,1
KEDSGEN_320,4.17,1
KEDSGEN_321,4.17,1
KEDSGEN_322,4.17,1
KEDSGEN_323,4.17,1
KEDSGEN_324,4.17,1
KEDSGEN_325,4.17,1
KEDSGEN_326,4.17,1
KEDSGEN_327,4.17,1
KEDSGEN_328,4.17,1
KEDSGEN_329,4.17,1
KEDSGEN_33,4.17,1
KEDSGEN_330,4.17,1
KEDSGEN_331,4.17,1
KEDSGEN_332,4.17,1
KEDSGEN_333,4.17,1
KEDSGEN_334,4.17,1
KEDSGEN_335,4.17,1
KEDSGEN_336,4.17,1
KEDSGEN_337,4.17,1
KEDSGEN_338,4.17,1
KEDSGEN_339,4.17,1
KEDSGEN_34,4.17,1
KEDSGEN_340,4.17,1
KEDSGEN_341,4.17,1
KEDSGEN_342,4.17,1
KEDSGEN_343,4.17,1
KEDSGEN_344,4.17,1
KEDSGEN_345,4.17,1
KEDSGEN_346,4.17,1
KEDSGEN_347,4.17,1
KEDSGEN_348,4.17,1
KEDSGEN_349,4.17,1
KEDSGEN_35,4.17,1
KEDSGEN_350,4.17,1
KEDSGEN_351,4.17,1
KEDSGEN_352,4.17,1
KEDSGEN_353,4.17,1
KEDSGEN_354,4.17,1
KEDSGEN_355,4.17,1
KEDSGEN_356,4.17,1
KEDSGEN_357,4.17,1
KEDSGEN_358,4.17,1
KEDSGEN_359,4.17,1
KEDSGEN_36,4.17,1
KEDSGEN_360,4.17,1
KEDSGEN_361,4.17,1
KEDSGEN_362,4.17,1
KEDSGEN_363,4.17,1
KEDSGEN_364,4.17,1
KEDSGEN_365,4.17,1
KEDSGEN_366,4.17,1
KEDSGEN_367,4.17,1
KEDSGEN_368,4.17,1
KEDSGEN_369,4.17,1
KEDSGEN_37,4.17,1
KEDSGEN_370,4.17,1
KEDSGEN_371,4.17,1
KEDSGEN_372,4.17,1
KEDSGEN_373,4.17,1
KEDSGEN_374,4.17,1
KEDSGEN_375,4.17,1
KEDSGEN_376,4.17,1
KEDSGEN_377,4.17,1
KEDSGEN_378,4.17,1
KEDSGEN_38,4.17,1
KEDSGEN_39,4.17,1
KEDSGEN_4,4.17,1
KEDSGEN_40,4.17,1
KEDSGEN_41,4.17,1
KEDSGEN_42,4.17,1
KEDSGEN_43,4.17,1
KEDSGEN_44,4.17,1
KEDSGEN_45,4.17,1
KEDSGEN_46,4.17,1
KEDSGEN_47,4.17,1
KEDSGEN_48,4.17,1
KEDSGEN_49,4.17,1
KEDSGEN_5,4.17,1
KEDSGEN_50,4.17,1
KEDSGEN_51,4.17,1
KEDSGEN_52,4.17,1
KEDSGEN_53,4.17,1
KEDSGEN_54,4.17,1
KEDSGEN_55,4.17,1
KEDSGEN_56,4.17,1
KEDSGEN_57,4.17,1
KEDSGEN_58,4.17,1
KEDSGEN_59,4.17,1
KEDSGEN_6,4.17,1
KEDSGEN_60,4.17,1
KEDSGEN_61,4.17,1
KEDSGEN_62,4.17,1
KEDSGEN_63,4.17,1
KEDSGEN_64,4.17,1
KEDSGEN_65,4.17,1
KEDSGEN_66,4.17,1
KEDSGEN_67,4.17,1
KEDSGEN_68,4.17,1
KEDSGEN_69,4.17,1
KEDSGEN_7,4.17,1
KEDSGEN_70,4.17,1
KEDSGEN_71,4.17,1
KEDSGEN_72,4.17,1
KEDSGEN_73,4.17,1
KEDSGEN_74,4.17,1
KEDSGEN_75,4.17,1
KEDSGEN_76,4.17,1
KEDSGEN_77,4.17,1
KEDSGEN_78,4.17,1
KEDSGEN_79,4.17,1
KEDSGEN_8,4.17,1
KEDSGEN_80,4.17,1
KEDSGEN_81,4.17,1
KEDSGEN_82,4.17,1
KEDSGEN_83,4.17,1
KEDSGEN_84,4.17,1
KEDSGEN_85,4.17,1
KEDSGEN_86,4.17,1
KEDSGEN_87,4.17,1
KEDSGEN_88,4.17,1
KEDSGEN_89,4.17,1
KEDSGEN_9,4.17,1
KEDSGEN_90,4.17,1
KEDSGEN_91,4.17,1
KEDSGEN_92,4.17,1
KEDSGEN_93,4.17,1
KEDSGEN_94,4.17,1
KEDSGEN_95,4.17,1
KEDSGEN_96,4.17,1
KEDSGEN_97,4.17,1
KEDSGEN_98,4.17,1
KEDSGEN_99,4.17,1
