Technology,Variable Cost,ModeofOperation
KEDSGEN_1,4.17,1
KEDSGEN_10,4.17,1
KEDSGEN_100,4.17,1
KEDSGEN_101,4.17,1
KEDSGEN_102,4.17,1
KEDSGEN_103,4.17,1
KEDSGEN_104,4.17,1
KEDSGEN_105,4.17,1
KEDSGEN_106,4.17,1
KEDSGEN_107,4.17,1
KEDSGEN_108,4.17,1
KEDSGEN_109,4.17,1
KEDSGEN_11,4.17,1
KEDSGEN_110,4.17,1
KEDSGEN_111,4.17,1
KEDSGEN_112,4.17,1
KEDSGEN_113,4.17,1
KEDSGEN_114,4.17,1
KEDSGEN_115,4.17,1
KEDSGEN_116,4.17,1
KEDSGEN_117,4.17,1
KEDSGEN_118,4.17,1
KEDSGEN_119,4.17,1
KEDSGEN_12,4.17,1
KEDSGEN_120,4.17,1
KEDSGEN_121,4.17,1
KEDSGEN_122,4.17,1
KEDSGEN_123,4.17,1
KEDSGEN_124,4.17,1
KEDSGEN_125,4.17,1
KEDSGEN_126,4.17,1
KEDSGEN_127,4.17,1
KEDSGEN_128,4.17,1
KEDSGEN_129,4.17,1
KEDSGEN_13,4.17,1
KEDSGEN_130,4.17,1
KEDSGEN_131,4.17,1
KEDSGEN_132,4.17,1
KEDSGEN_133,4.17,1
KEDSGEN_134,4.17,1
KEDSGEN_135,4.17,1
KEDSGEN_136,4.17,1
KEDSGEN_137,4.17,1
KEDSGEN_138,4.17,1
KEDSGEN_139,4.17,1
KEDSGEN_14,4.17,1
KEDSGEN_140,4.17,1
KEDSGEN_141,4.17,1
KEDSGEN_142,4.17,1
KEDSGEN_143,4.17,1
KEDSGEN_144,4.17,1
KEDSGEN_145,4.17,1
KEDSGEN_146,4.17,1
KEDSGEN_147,4.17,1
KEDSGEN_148,4.17,1
KEDSGEN_149,4.17,1
KEDSGEN_15,4.17,1
KEDSGEN_150,4.17,1
KEDSGEN_151,4.17,1
KEDSGEN_152,4.17,1
KEDSGEN_153,4.17,1
KEDSGEN_154,4.17,1
KEDSGEN_155,4.17,1
KEDSGEN_156,4.17,1
KEDSGEN_157,4.17,1
KEDSGEN_158,4.17,1
KEDSGEN_159,4.17,1
KEDSGEN_16,4.17,1
KEDSGEN_160,4.17,1
KEDSGEN_161,4.17,1
KEDSGEN_162,4.17,1
KEDSGEN_163,4.17,1
KEDSGEN_164,4.17,1
KEDSGEN_165,4.17,1
KEDSGEN_166,4.17,1
KEDSGEN_167,4.17,1
KEDSGEN_168,4.17,1
KEDSGEN_169,4.17,1
KEDSGEN_17,4.17,1
KEDSGEN_170,4.17,1
KEDSGEN_171,4.17,1
KEDSGEN_172,4.17,1
KEDSGEN_173,4.17,1
KEDSGEN_174,4.17,1
KEDSGEN_175,4.17,1
KEDSGEN_176,4.17,1
KEDSGEN_177,4.17,1
KEDSGEN_178,4.17,1
KEDSGEN_179,4.17,1
KEDSGEN_18,4.17,1
KEDSGEN_180,4.17,1
KEDSGEN_181,4.17,1
KEDSGEN_182,4.17,1
KEDSGEN_183,4.17,1
KEDSGEN_184,4.17,1
KEDSGEN_185,4.17,1
KEDSGEN_186,4.17,1
KEDSGEN_187,4.17,1
KEDSGEN_188,4.17,1
KEDSGEN_189,4.17,1
KEDSGEN_19,4.17,1
KEDSGEN_190,4.17,1
KEDSGEN_191,4.17,1
KEDSGEN_192,4.17,1
KEDSGEN_193,4.17,1
KEDSGEN_194,4.17,1
KEDSGEN_195,4.17,1
KEDSGEN_196,4.17,1
KEDSGEN_197,4.17,1
KEDSGEN_198,4.17,1
KEDSGEN_199,4.17,1
KEDSGEN_2,4.17,1
KEDSGEN_20,4.17,1
KEDSGEN_200,4.17,1
KEDSGEN_201,4.17,1
KEDSGEN_202,4.17,1
KEDSGEN_203,4.17,1
KEDSGEN_204,4.17,1
KEDSGEN_205,4.17,1
KEDSGEN_206,4.17,1
KEDSGEN_207,4.17,1
KEDSGEN_208,4.17,1
KEDSGEN_209,4.17,1
KEDSGEN_21,4.17,1
KEDSGEN_210,4.17,1
KEDSGEN_211,4.17,1
KEDSGEN_212,4.17,1
KEDSGEN_213,4.17,1
KEDSGEN_214,4.17,1
KEDSGEN_215,4.17,1
KEDSGEN_216,4.17,1
KEDSGEN_217,4.17,1
KEDSGEN_218,4.17,1
KEDSGEN_219,4.17,1
KEDSGEN_22,4.17,1
KEDSGEN_220,4.17,1
KEDSGEN_221,4.17,1
KEDSGEN_222,4.17,1
KEDSGEN_223,4.17,1
KEDSGEN_224,4.17,1
KEDSGEN_225,4.17,1
KEDSGEN_226,4.17,1
KEDSGEN_227,4.17,1
KEDSGEN_228,4.17,1
KEDSGEN_229,4.17,1
KEDSGEN_23,4.17,1
KEDSGEN_230,4.17,1
KEDSGEN_231,4.17,1
KEDSGEN_232,4.17,1
KEDSGEN_233,4.17,1
KEDSGEN_234,4.17,1
KEDSGEN_235,4.17,1
KEDSGEN_236,4.17,1
KEDSGEN_237,4.17,1
KEDSGEN_238,4.17,1
KEDSGEN_239,4.17,1
KEDSGEN_24,4.17,1
KEDSGEN_240,4.17,1
KEDSGEN_241,4.17,1
KEDSGEN_242,4.17,1
KEDSGEN_243,4.17,1
KEDSGEN_244,4.17,1
KEDSGEN_245,4.17,1
KEDSGEN_246,4.17,1
KEDSGEN_247,4.17,1
KEDSGEN_248,4.17,1
KEDSGEN_249,4.17,1
KEDSGEN_25,4.17,1
KEDSGEN_250,4.17,1
KEDSGEN_251,4.17,1
KEDSGEN_252,4.17,1
KEDSGEN_253,4.17,1
KEDSGEN_254,4.17,1
KEDSGEN_255,4.17,1
KEDSGEN_256,4.17,1
KEDSGEN_257,4.17,1
KEDSGEN_258,4.17,1
KEDSGEN_259,4.17,1
KEDSGEN_26,4.17,1
KEDSGEN_260,4.17,1
KEDSGEN_261,4.17,1
KEDSGEN_262,4.17,1
KEDSGEN_263,4.17,1
KEDSGEN_264,4.17,1
KEDSGEN_265,4.17,1
KEDSGEN_266,4.17,1
KEDSGEN_267,4.17,1
KEDSGEN_268,4.17,1
KEDSGEN_269,4.17,1
KEDSGEN_27,4.17,1
KEDSGEN_270,4.17,1
KEDSGEN_271,4.17,1
KEDSGEN_272,4.17,1
KEDSGEN_273,4.17,1
KEDSGEN_274,4.17,1
KEDSGEN_275,4.17,1
KEDSGEN_276,4.17,1
KEDSGEN_277,4.17,1
KEDSGEN_278,4.17,1
KEDSGEN_279,4.17,1
KEDSGEN_28,4.17,1
KEDSGEN_280,4.17,1
KEDSGEN_281,4.17,1
KEDSGEN_282,4.17,1
KEDSGEN_283,4.17,1
KEDSGEN_284,4.17,1
KEDSGEN_285,4.17,1
KEDSGEN_286,4.17,1
KEDSGEN_287,4.17,1
KEDSGEN_288,4.17,1
KEDSGEN_289,4.17,1
KEDSGEN_29,4.17,1
KEDSGEN_290,4.17,1
