Timeslice,Hour,Month,Daysplit,Demand fuel,startyear,endyear,timesliceDN,timesliceDE,timesliceED,timesliceEN,timesliceNE,timesliceND,region,Tech,renewable ninjafile
,,,,EL3_109_1,,,,,,,,,,,
,,,,EL3_110_0,,,,,,,,,,,
,,,,EL3_110_1,,,,,,,,,,,
,,,,EL3_111_0,,,,,,,,,,,
,,,,EL3_112_0,,,,,,,,,,,
,,,,EL3_112_1,,,,,,,,,,,
,,,,EL3_113_0,,,,,,,,,,,
,,,,EL3_114_0,,,,,,,,,,,
,,,,EL3_114_1,,,,,,,,,,,
,,,,EL3_115_0,,,,,,,,,,,
,,,,EL3_116_0,,,,,,,,,,,
,,,,EL3_116_1,,,,,,,,,,,
,,,,EL3_117_0,,,,,,,,,,,
,,,,EL3_117_1,,,,,,,,,,,
,,,,EL3_118_0,,,,,,,,,,,
,,,,EL3_119_0,,,,,,,,,,,
,,,,EL3_120_0,,,,,,,,,,,
,,,,EL3_120_1,,,,,,,,,,,
,,,,EL3_121_0,,,,,,,,,,,
,,,,EL3_122_0,,,,,,,,,,,
,,,,EL3_122_1,,,,,,,,,,,
,,,,EL3_123_0,,,,,,,,,,,
,,,,EL3_123_1,,,,,,,,,,,
,,,,EL3_124_0,,,,,,,,,,,
,,,,EL3_125_0,,,,,,,,,,,
,,,,EL3_126_0,,,,,,,,,,,
,,,,EL3_126_1,,,,,,,,,,,
,,,,EL3_127_0,,,,,,,,,,,
,,,,EL3_127_1,,,,,,,,,,,
,,,,EL3_128_0,,,,,,,,,,,
,,,,EL3_129_0,,,,,,,,,,,
,,,,EL3_130_0,,,,,,,,,,,
,,,,EL3_131_0,,,,,,,,,,,
,,,,EL3_131_1,,,,,,,,,,,
,,,,EL3_132_0,,,,,,,,,,,
,,,,EL3_133_0,,,,,,,,,,,
,,,,EL3_134_0,,,,,,,,,,,
,,,,EL3_134_1,,,,,,,,,,,
,,,,EL3_135_0,,,,,,,,,,,
,,,,EL3_136_0,,,,,,,,,,,
,,,,EL3_137_0,,,,,,,,,,,
,,,,EL3_138_0,,,,,,,,,,,
,,,,EL3_139_0,,,,,,,,,,,
,,,,EL3_140_0,,,,,,,,,,,
,,,,EL3_140_1,,,,,,,,,,,
,,,,EL3_141_0,,,,,,,,,,,
,,,,EL3_142_0,,,,,,,,,,,
,,,,EL3_143_0,,,,,,,,,,,
,,,,EL3_143_1,,,,,,,,,,,
,,,,EL3_144_0,,,,,,,,,,,
,,,,EL3_144_1,,,,,,,,,,,
,,,,EL3_145_0,,,,,,,,,,,
,,,,EL3_145_1,,,,,,,,,,,
,,,,EL3_146_0,,,,,,,,,,,
,,,,EL3_147_0,,,,,,,,,,,
,,,,EL3_147_1,,,,,,,,,,,
,,,,EL3_148_0,,,,,,,,,,,
,,,,EL3_148_1,,,,,,,,,,,
,,,,EL3_149_0,,,,,,,,,,,
,,,,EL3_149_1,,,,,,,,,,,
,,,,EL3_150_0,,,,,,,,,,,
,,,,EL3_151_0,,,,,,,,,,,
,,,,EL3_152_0,,,,,,,,,,,
,,,,EL3_153_0,,,,,,,,,,,
,,,,EL3_153_1,,,,,,,,,,,
,,,,EL3_154_0,,,,,,,,,,,
,,,,EL3_155_0,,,,,,,,,,,
,,,,EL3_156_0,,,,,,,,,,,
,,,,EL3_157_0,,,,,,,,,,,
,,,,EL3_158_0,,,,,,,,,,,
,,,,EL3_159_0,,,,,,,,,,,
,,,,EL3_160_0,,,,,,,,,,,
,,,,EL3_160_1,,,,,,,,,,,
,,,,EL3_161_0,,,,,,,,,,,
,,,,EL3_161_1,,,,,,,,,,,
,,,,EL3_162_0,,,,,,,,,,,
,,,,EL3_162_1,,,,,,,,,,,
,,,,EL3_163_0,,,,,,,,,,,
,,,,EL3_163_1,,,,,,,,,,,
,,,,EL3_164_0,,,,,,,,,,,
,,,,EL3_164_1,,,,,,,,,,,
,,,,EL3_165_0,,,,,,,,,,,
,,,,EL3_165_1,,,,,,,,,,,
,,,,EL3_166_0,,,,,,,,,,,
,,,,EL3_166_1,,,,,,,,,,,
,,,,EL3_167_0,,,,,,,,,,,
,,,,EL3_167_1,,,,,,,,,,,
,,,,EL3_168_0,,,,,,,,,,,
,,,,EL3_168_1,,,,,,,,,,,
,,,,EL3_169_0,,,,,,,,,,,
,,,,EL3_170_0,,,,,,,,,,,
,,,,EL3_171_0,,,,,,,,,,,
,,,,EL3_171_1,,,,,,,,,,,
,,,,EL3_172_0,,,,,,,,,,,
,,,,EL3_172_1,,,,,,,,,,,
,,,,EL3_173_0,,,,,,,,,,,
,,,,EL3_173_1,,,,,,,,,,,
,,,,EL3_174_0,,,,,,,,,,,
,,,,EL3_174_1,,,,,,,,,,,
,,,,EL3_175_0,,,,,,,,,,,
,,,,EL3_176_0,,,,,,,,,,,
,,,,EL3_177_0,,,,,,,,,,,
,,,,EL3_178_0,,,,,,,,,,,
,,,,EL3_178_1,,,,,,,,,,,
,,,,EL3_179_0,,,,,,,,,,,
,,,,EL3_179_1,,,,,,,,,,,
,,,,EL3_180_0,,,,,,,,,,,
,,,,EL3_180_1,,,,,,,,,,,
,,,,EL3_181_0,,,,,,,,,,,
,,,,EL3_181_1,,,,,,,,,,,
,,,,EL3_182_0,,,,,,,,,,,
,,,,EL3_182_1,,,,,,,,,,,
,,,,EL3_183_0,,,,,,,,,,,
,,,,EL3_183_1,,,,,,,,,,,
,,,,EL3_184_0,,,,,,,,,,,
,,,,EL3_184_1,,,,,,,,,,,
,,,,EL3_185_0,,,,,,,,,,,
,,,,EL3_185_1,,,,,,,,,,,
,,,,EL3_186_0,,,,,,,,,,,
,,,,EL3_186_1,,,,,,,,,,,
,,,,EL3_187_0,,,,,,,,,,,
,,,,EL3_187_1,,,,,,,,,,,
,,,,EL3_188_0,,,,,,,,,,,
,,,,EL3_188_1,,,,,,,,,,,
,,,,EL3_189_0,,,,,,,,,,,
,,,,EL3_189_1,,,,,,,,,,,
,,,,EL3_190_0,,,,,,,,,,,
,,,,EL3_190_1,,,,,,,,,,,
,,,,EL3_191_0,,,,,,,,,,,
,,,,EL3_192_0,,,,,,,,,,,
,,,,EL3_192_1,,,,,,,,,,,
,,,,EL3_193_0,,,,,,,,,,,
,,,,EL3_193_1,,,,,,,,,,,
,,,,EL3_194_0,,,,,,,,,,,
,,,,EL3_195_0,,,,,,,,,,,
,,,,EL3_196_0,,,,,,,,,,,
,,,,EL3_197_0,,,,,,,,,,,
,,,,EL3_197_1,,,,,,,,,,,
,,,,EL3_198_0,,,,,,,,,,,
,,,,EL3_198_1,,,,,,,,,,,
,,,,EL3_199_0,,,,,,,,,,,
,,,,EL3_199_1,,,,,,,,,,,
,,,,EL3_200_0,,,,,,,,,,,
,,,,EL3_200_1,,,,,,,,,,,
,,,,EL3_201_0,,,,,,,,,,,
,,,,EL3_201_1,,,,,,,,,,,
,,,,EL3_202_0,,,,,,,,,,,
,,,,EL3_202_1,,,,,,,,,,,
,,,,EL3_203_0,,,,,,,,,,,
,,,,EL3_203_1,,,,,,,,,,,
,,,,EL3_204_0,,,,,,,,,,,
,,,,EL3_204_1,,,,,,,,,,,
,,,,EL3_205_0,,,,,,,,,,,
,,,,EL3_205_1,,,,,,,,,,,
,,,,EL3_206_0,,,,,,,,,,,
,,,,EL3_206_1,,,,,,,,,,,
,,,,EL3_207_0,,,,,,,,,,,
,,,,EL3_207_1,,,,,,,,,,,
,,,,EL3_208_0,,,,,,,,,,,
,,,,EL3_208_1,,,,,,,,,,,
,,,,EL3_209_0,,,,,,,,,,,
,,,,EL3_209_1,,,,,,,,,,,
,,,,EL3_210_0,,,,,,,,,,,
,,,,EL3_211_0,,,,,,,,,,,
