Timeslice,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
5D,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903,0.047596903
5E,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793,0.016771793
5N,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575,0.019473575
6D,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579,0.046925579
6E,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028,0.016462028
6N,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945,0.018830945
7D,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771,0.04902771
7E,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613,0.017279613
7N,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844,0.019662844
8D,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766,0.049389766
8E,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783,0.017369783
8N,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358,0.019367358
9D,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554,0.048542554
9E,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912,0.016974912
9N,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345,0.019352345
10D,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382,0.049598382
10E,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757,0.017563757
10N,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547,0.02017547
11D,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651,0.048136651
11E,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916,0.016746916
11N,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469,0.01918469
12D,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897,0.047540897
12E,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161,0.017049161
12N,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383,0.019377383
