Timeslice,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1D,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538,0.047254538
1E,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956,0.017110956
1N,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683,0.019262683
2D,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695,0.042808695
2E,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214,0.015328214
2N,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882,0.017634882
3D,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865,0.046499865
3E,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761,0.016632761
3N,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719,0.019168719
4D,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409,0.045700409
4E,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276,0.015909276
4N,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987,0.018287987
