Fuel,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
EL3_1_0,0,0,0,0,0,294.2894117,612.1219764,954.9102831,1324.142259,1721.384937,2148.288401,2606.589927,3098.118313,3624.798427,4188.65596,4356.202198,4530.450286,4711.668297,4900.135029,5096.14043,5299.986048,5511.98549,5732.464909,5961.763505,6200.234046
EL3_1_1,412.7447384,455.0967893,485.7119961,485.7119961,511.4131144,535.0754196,554.3806843,572.7126092,591.758438,612.5961231,646.2617671,688.352893,725.6385198,765.5436672,809.2740472,855.3400956,902.5842969,952.9185214,1006.602051,1062.850402,1119.487422,1184.121576,1251.141054,1321.935457,1394.806693
EL3_2_0,0,0,0,0,0,74.23576826,154.410398,240.8802209,334.0205729,434.2267448,541.9149775,657.5235061,781.5136529,914.3709739,1056.606459,1098.870717,1142.825546,1188.538568,1236.08011,1285.523315,1336.944247,1390.422017,1446.038898,1503.880454,1564.035672
EL3_3_0,0,0,0,0,0,48.50078978,100.8816427,157.3753627,218.2271696,283.6953204,354.0517599,429.582802,510.5898447,597.3901183,690.31747,717.9301688,746.6473755,776.5132706,807.5738014,839.8767534,873.4718236,908.4106965,944.7471244,982.5370094,1021.83849
EL3_4_0,0,0,0,0,0,80.16592387,166.7451216,260.1223898,360.7030471,468.9139613,585.2046237,710.0482767,843.9430946,987.4134207,1141.011064,1186.651507,1234.117567,1283.482269,1334.82156,1388.214423,1443.743,1501.49272,1561.552428,1624.014525,1688.975106
EL3_5_0,0,0,0,0,0,133.4476166,277.5710425,433.0108263,600.4416792,780.574183,974.1565803,1181.976651,1404.863676,1643.690501,1899.37569,1975.350718,2054.364747,2136.539337,2222.00091,2310.880947,2403.316184,2499.448832,2599.426785,2703.403856,2811.540011
EL3_5_1,550.0657241,606.5083855,647.3093318,647.3093318,681.5612626,713.0960632,738.8242275,763.2552198,788.6376333,816.4080571,861.2743272,917.3692534,967.0598814,1020.24155,1078.521113,1139.913426,1202.875866,1269.956386,1341.500532,1416.46282,1491.943088,1578.081152,1667.398142,1761.745982,1858.861621
EL3_6_0,0,0,0,0,0,76.23130292,158.5611101,247.3553317,342.9993933,445.8992113,556.4822157,675.1984217,802.5215527,938.9502166,1085.009139,1128.409505,1173.545885,1220.48772,1269.307229,1320.079518,1372.882699,1427.798007,1484.909927,1544.306324,1606.078577
EL3_6_1,973.914407,1073.848503,1146.088288,1146.088288,1206.732766,1262.566452,1308.119245,1351.37534,1396.315966,1445.484665,1524.922276,1624.240692,1712.220031,1806.380402,1909.566811,2018.264473,2129.74211,2248.510981,2375.182888,2507.906759,2641.547735,2794.058787,2952.198259,3119.245061,3291.192369
EL3_8_0,0,0,0,0,0,182.1877681,378.9505577,591.16287,819.7458464,1065.6696,1329.955661,1613.679536,1917.973391,2244.028867,2593.100025,2696.824026,2804.696987,2916.884866,3033.560261,3154.902671,3281.098778,3412.342729,3548.836438,3690.789896,3838.421492
EL3_8_1,6281.04375,6925.546416,7391.440795,7391.440795,7782.553832,8142.640734,8436.42331,8715.393849,9005.228395,9322.330951,9834.646103,10475.17808,11042.5812,11649.84752,12315.32524,13016.34657,13735.29673,14501.27007,15318.21229,16174.18529,17036.07296,18019.65897,19039.54422,20116.87532,21225.81113
EL3_9_0,0,0,0,0,0,90.52129901,188.2843019,293.723511,407.296602,529.4855826,660.798007,801.7682486,952.9588326,1114.961834,1288.400342,1339.936355,1393.53381,1449.275162,1507.246168,1567.536015,1630.237456,1695.446954,1763.264832,1833.795425,1907.147242
EL3_10_0,0,0,0,0,0,10.87994741,22.63029062,35.30325337,48.95384467,63.63999807,79.42271759,96.36623067,114.5381485,134.0096337,154.8555767,161.0497998,167.4917918,174.1914634,181.159122,188.4054869,195.9417063,203.7793746,211.9305496,220.4077716,229.2240824
EL3_11_0,0,0,0,0,0,122.1286138,254.0275167,396.2829261,549.5123242,714.3660214,891.5287947,1081.721604,1285.703393,1504.272969,1738.270987,1807.801826,1880.113899,1955.318455,2033.531193,2114.872441,2199.467339,2287.446032,2378.943874,2474.101629,2573.065694
EL3_11_1,170.8900106,188.4251643,201.1008753,201.1008753,211.7419907,221.5389698,229.5319897,237.1220146,245.0076193,253.6351121,267.5738053,285.0009274,300.4384134,316.9604679,335.0662956,354.1391675,373.6998337,394.539872,416.7666338,440.0553167,463.5049213,490.2656048,518.0138914,547.3251221,577.4962305
EL3_12_0,0,0,0,0,0,143.5618205,298.6085866,465.8293951,645.9500946,839.735123,1047.989433,1271.560513,1511.340495,1768.268379,2043.332349,2125.065643,2210.068269,2298.471,2390.40984,2486.026233,2585.467283,2688.885974,2796.441413,2908.299069,3024.631032
EL3_13_0,0,0,0,0,0,17.7105525,36.8379492,57.46720075,79.6878517,103.5942072,129.2855706,156.8664923,186.4470309,218.1430261,252.0763858,262.1594412,272.6458188,283.5516516,294.8937177,306.6894664,318.957045,331.7153268,344.9839399,358.7832975,373.1346294
EL3_14_0,0,0,0,0,0,3.114428629,6.478011548,10.10569801,14.01323458,18.21720495,22.73507178,27.58522043,32.78700485,38.36079568,44.32803056,46.10115179,47.94519786,49.86300577,51.857526,53.93182704,56.08910012,58.33266413,60.66597069,63.09260952,65.6163139
EL3_15_0,0,0,0,0,0,56.54135237,117.6060129,183.4653802,254.4053272,330.7269253,412.7472028,500.7999394,595.2364994,696.4267044,804.7597473,836.9501371,870.4281426,905.2452683,941.4550791,979.1132822,1018.277814,1059.008926,1101.369283,1145.424054,1191.241017
EL3_16_0,0,0,0,0,0,52.54966032,109.3032935,170.5131378,236.4448844,307.3783498,383.6081805,465.4445923,553.214144,647.2605485,747.9455227,777.8633436,808.9778774,841.3369925,874.9904722,909.9900911,946.3896947,984.2452825,1023.615094,1064.559698,1107.142085
EL3_16_1,5.080508334,5.60182315,5.978668204,5.978668204,6.295025346,6.586286572,6.823916635,7.04956578,7.284002425,7.540495175,7.954888308,8.472991377,8.931943169,9.423138853,9.961419634,10.52845035,11.10998304,11.72955107,12.39034598,13.08271148,13.77986113,14.57544816,15.40039633,16.27181035,17.16878828
EL3_17_0,0,0,0,0,0,501.5084247,1043.137523,1627.294537,2256.515091,2933.469618,3660.970083,4441.977034,5279.606989,6177.140177,7138.028649,7423.549795,7720.491787,8029.311459,8350.483917,8684.503274,9031.883405,9393.158741,9768.88509,10159.64049,10566.02611
EL3_17_1,1659.536355,1829.82264,1952.91821,1952.91821,2056.255542,2151.395351,2229.016665,2302.724438,2379.302629,2463.085396,2598.445959,2767.683134,2917.598681,3078.046621,3253.874799,3439.094076,3629.050391,3831.430864,4047.278,4273.437597,4501.159926,4761.036598,5030.504019,5315.149404,5608.145181
EL3_18_0,0,0,0,0,0,238.3864937,495.8439069,773.5164947,1072.609539,1394.392401,1740.201717,2111.444749,2509.602902,2936.235396,3392.983124,3528.702449,3669.850547,3816.644569,3969.310351,4128.082765,4293.206076,4464.934319,4643.531692,4829.272959,5022.443878
EL3_19_0,0,0,0,0,0,70.22433183,146.0666102,227.8639119,315.9712912,410.7626786,512.6318228,621.9932784,739.2834394,864.9616242,999.5112101,1039.491659,1081.071325,1124.314178,1169.286745,1216.058215,1264.700543,1315.288565,1367.900108,1422.616112,1479.520757
EL3_20_0,0,0,0,0,0,537.9167252,1118.866788,1745.43219,2420.332637,3146.432428,3926.74767,4764.453839,5662.893706,6625.585636,7656.232291,7962.481582,8280.980845,8612.220079,8956.708882,9314.977238,9687.576327,10075.07938,10478.08256,10897.20586,11333.09409
EL3_20_1,6090.585016,6715.544567,7167.311731,7167.311731,7546.565132,7895.733197,8180.607467,8451.118842,8732.164798,9039.651922,9536.432252,10157.54152,10707.73939,11296.59171,11941.89029,12621.65471,13318.80429,14061.55119,14853.72144,15683.73896,16519.49179,17473.25274,18462.21223,19506.87565,20582.18544
EL3_21_0,0,0,0,0,0,67.1972814,139.7703453,218.0417387,302.351211,393.0565743,490.5346047,595.181987,707.4163046,827.6770764,956.4268438,994.6839176,1034.471274,1075.850125,1118.88413,1163.639495,1210.185075,1258.592478,1308.936177,1361.293624,1415.745369
EL3_21_1,24.09701831,26.56963165,28.35702015,28.35702015,29.85751249,31.23897408,32.36606129,33.43632261,34.54826334,35.7648169,37.73029717,40.18767709,42.36450055,44.69425786,47.24734132,49.93678666,52.69501536,55.63364696,58.76781896,62.05173131,65.35833507,69.13183054,73.04458687,77.17773228,81.43212813
EL3_22_0,0,0,0,0,0,76.04715626,158.178085,246.7578126,342.1708335,444.8220836,555.1379603,673.5673918,800.5829571,936.6820599,1082.388158,1125.683684,1170.711032,1217.539473,1266.241052,1316.890694,1369.566322,1424.348975,1481.322934,1540.575851,1602.198885
EL3_23_0,0,0,0,0,0,123.2599567,256.3807099,399.9539075,554.6027517,720.9835772,899.7875043,1091.742172,1297.613553,1518.207857,1754.373523,1824.548464,1897.530403,1973.431619,2052.368884,2134.463639,2219.842185,2308.635872,2400.981307,2497.020559,2596.901382
EL3_24_0,0,0,0,0,0,4.943522928,10.28252769,16.0407432,22.2431639,28.91611307,36.08730911,43.78593506,52.04271138,60.88997232,70.36174579,73.17621562,76.10326424,79.14739481,82.31329061,85.60582223,89.03005512,92.59125732,96.29490762,100.1467039,104.1525721
EL3_25_0,0,0,0,0,0,0.311442863,0.647801155,1.010569801,1.401323458,1.821720495,2.273507178,2.758522043,3.278700485,3.836079568,4.432803056,4.610115179,4.794519786,4.986300577,5.1857526,5.393182704,5.608910012,5.833266413,6.066597069,6.309260952,6.56163139
EL3_26_0,0,0,0,0,0,2.845377357,5.918384903,9.232680448,12.80265022,16.64344529,20.77101972,25.20217059,29.9545799,35.04685849,40.49859203,42.11853571,43.80327714,45.55540823,47.37762456,49.27272954,51.24363872,53.29338427,55.42511964,57.64212442,59.9478094
EL3_27_0,0,0,0,0,0,66.28845222,137.8799806,215.0927697,298.2619741,387.7405663,483.9002267,587.1322751,697.8486469,816.4829169,943.4913707,981.2310255,1020.480266,1061.299477,1103.751456,1147.901514,1193.817575,1241.570278,1291.233089,1342.882413,1396.597709
EL3_28_0,0,0,0,0,0,47.80677262,99.43808706,155.1234158,215.1044699,279.6358109,348.985492,423.4357303,503.2836109,588.8418247,680.4394419,707.6570196,735.9633003,765.4018323,796.0179056,827.8586219,860.9729667,895.4118854,931.2283608,968.4774953,1007.216595
EL3_29_0,0,0,0,0,0,24.31839827,50.5822684,78.9083387,109.419563,142.2454319,177.522299,215.3937228,256.0108248,299.532665,346.1266351,359.9717005,374.3705686,389.3453913,404.919207,421.1159752,437.9606143,455.4790388,473.6982004,492.6461284,512.3519735
EL3_30_0,0,0,0,0,0,391.1891573,813.6734473,1269.330578,1760.138401,2288.179921,2855.648542,3464.853564,4118.225951,4818.324362,5567.841485,5790.555145,6022.17735,6263.064444,6513.587022,6774.130503,7045.095723,7326.899552,7619.975534,7924.774556,8241.765538
EL3_31_0,0,0,0,0,0,146.9358977,305.6266673,476.7776009,661.1316066,859.4710886,1072.619919,1301.445501,1546.860939,1809.827298,2091.355989,2175.010229,2262.010638,2352.491063,2446.590706,2544.454334,2646.232507,2752.081808,2862.16508,2976.651683,3095.71775
EL3_32_0,0,0,0,0,0,204.1706029,424.6748541,662.4927724,918.6566444,1194.253638,1490.42854,1808.386628,2149.396678,2514.794114,2905.984309,3022.223681,3143.112629,3268.837134,3399.590619,3535.574244,3676.997214,3824.077102,3977.040186,4136.121794,4301.566665
EL3_32_1,1140.444404,1257.466269,1342.058362,1342.058362,1413.072463,1478.453172,1531.795054,1582.447526,1635.072567,1692.64864,1785.669318,1901.970229,2004.993188,2115.254078,2236.084369,2363.368287,2493.907528,2632.984733,2781.316318,2936.734694,3093.226992,3271.815966,3456.995767,3652.605966,3853.954609
EL3_33_0,0,0,0,0,0,482.3113553,1003.207619,1565.003886,2170.138721,2821.180338,3520.833061,4271.944114,5077.510719,5940.687541,6864.794492,7139.386272,7424.961722,7721.960191,8030.838599,8352.072143,8686.155029,9033.60123,9394.945279,9770.74309,10161.57281
EL3_33_1,7595.850946,8375.266976,8938.686751,8938.686751,9411.67125,9847.134932,10202.41484,10539.78212,10890.28756,11273.76901,11893.32679,12667.94095,13354.11823,14088.50325,14893.28504,15741.05075,16610.49832,17536.81241,18524.76466,19559.91799,20602.22409,21791.70359,23025.08082,24327.929,25668.99769
EL3_34_0,0,0,0,0,0,637.7541865,1326.528708,2069.384784,2869.546901,3730.410971,4655.552892,5648.737509,6713.928011,7855.295773,9077.230671,9440.319898,9817.932694,10210.65,10619.076,11043.83904,11485.5926,11945.01631,12422.81696,12919.72964,13436.51882
EL3_34_1,27573.25757,30402.57046,32447.80788,32447.80788,34164.76145,35745.51288,37035.19386,38259.85123,39532.20068,40924.25443,43173.27516,45985.15706,48476.00937,51141.8578,54063.24944,57140.67455,60296.8057,63659.36471,67245.67281,71003.32282,74786.9377,79104.79816,83582.00927,88311.40282,93179.53841
EL3_35_0,0,0,0,0,0,69.37603224,144.3021471,225.1113494,312.1544045,405.8007259,506.4393059,614.4796912,730.3530044,854.5130151,987.4372619,1026.934752,1068.012142,1110.732628,1155.161933,1201.368411,1249.423147,1299.400073,1351.376076,1405.431119,1461.648364
EL3_36_0,0,0,0,0,0,143.655728,298.8039142,466.1341062,646.3726273,840.2844154,1048.67495,1272.392273,1512.329102,1769.425049,2044.668946,2126.455704,2211.513932,2299.974489,2391.973469,2487.652407,2587.158504,2690.644844,2798.270637,2910.201463,3026.609521
EL3_37_0,0,0,0,0,0,77.9954231,162.23048,253.0795489,350.9369744,456.2180667,569.3601473,690.8236454,821.0932471,960.6790991,1110.11807,1154.522793,1200.703705,1248.731853,1298.681127,1350.628372,1404.653507,1460.839647,1519.273233,1580.044162,1643.245929
EL3_38_0,0,0,0,0,0,89.36362399,185.8763379,289.9670871,402.0876942,522.7140024,652.347075,791.514451,940.7714618,1100.70261,1271.923016,1322.799937,1375.711934,1430.740412,1487.970028,1547.488829,1609.388383,1673.763918,1740.714475,1810.343054,1882.756776
EL3_39_0,0,0,0,0,0,203.4376751,423.1503641,660.1145681,915.3588677,1189.966528,1485.078227,1801.894915,2141.680814,2505.766552,2895.55246,3011.374559,3131.829541,3257.102723,3387.386831,3522.882305,3663.797597,3810.349501,3962.763481,4121.27402,4286.124981
EL3_39_1,728.7878558,803.5693308,857.6269332,857.6269332,903.0076761,944.7884647,978.8759798,1011.244858,1044.874284,1081.667611,1141.111403,1215.43216,1281.267795,1351.728746,1428.943952,1510.283273,1593.702871,1682.578556,1777.368146,1876.686469,1976.691069,2090.816295,2209.153313,2334.155757,2462.825288
EL3_40_0,0,0,0,0,0,33.18299004,69.02061929,107.6721661,149.3054037,194.0970247,242.2330869,293.9094788,349.332409,408.7189186,472.297417,491.1893137,510.8368862,531.2703617,552.5211762,574.6220232,597.6069041,621.5111803,646.3716275,672.2264926,699.1155523
EL3_41_0,0,0,0,0,0,17.10036658,35.56876249,55.48726948,76.94234702,100.0250511,124.8312638,151.4619334,180.0233266,210.6272921,243.3915375,253.127199,263.252287,273.7823785,284.7336736,296.1230205,307.9679414,320.286659,333.0981254,346.4220504,360.2789324
EL3_42_0,0,0,0,0,0,52.08921084,108.3455585,169.0190713,234.3731122,304.6850459,380.2469373,461.3662839,548.3667832,641.5891363,741.3918909,771.0475665,801.8894691,833.9650479,867.3236498,902.0165958,938.0972597,975.62115,1014.645996,1055.231836,1097.441109
EL3_42_1,1185.894006,1307.57949,1395.542792,1395.542792,1469.386985,1537.373281,1592.840972,1645.512073,1700.234356,1760.104982,1856.83277,1977.768567,2084.897252,2199.552318,2325.198003,2457.554507,2593.296068,2737.915853,2892.158828,3053.771021,3216.499933,3402.206131,3594.765817,3798.171579,4007.544476
EL3_43_0,0,0,0,0,0,51.10808583,106.3048185,165.8355169,229.9585834,298.9461585,373.0848058,452.676231,538.0380346,629.5045004,727.4274227,756.5245196,786.7855004,818.2569204,850.9871973,885.0266851,920.4277525,957.2448627,995.5346572,1035.356043,1076.770285
EL3_43_1,2437.631072,2687.758246,2868.568739,2868.568739,3020.357093,3160.104411,3274.119464,3382.386064,3494.868913,3617.934295,3816.760379,4065.346555,4285.551911,4521.227908,4779.495362,5051.557052,5330.5768,5627.845931,5944.89574,6277.093139,6611.585977,6993.30913,7389.119777,7807.22477,8237.595341
EL3_44_0,0,0,0,0,0,29.62102581,61.61173368,96.11430455,133.2785023,173.262053,216.2310421,262.3603311,311.8339936,364.8457725,421.5995593,438.4635417,456.0020833,474.2421667,493.2118533,512.9403275,533.4579406,554.7962582,576.9881085,600.0676329,624.0703382
EL3_44_1,303.8771773,335.0582451,357.5982359,357.5982359,376.5203021,393.9413226,408.1545367,421.6511438,435.6733521,451.014788,475.8006179,506.7895836,534.2405719,563.6201434,595.8159856,629.7314288,664.5142696,701.5720941,741.0957948,782.5078071,824.2059708,871.791906,921.1340003,973.2553268,1026.905691
EL3_45_0,0,0,0,0,0,3.063229959,6.371518314,9.93956857,13.78286842,17.91772894,22.36132572,27.13174187,32.2480132,37.73017544,43.59931384,45.3432864,47.15701785,49.04329857,51.00503051,53.04523173,55.167041,57.37372264,59.66867154,62.05541841,64.53763514
EL3_46_0,0,0,0,0,0,37.51709171,78.03555076,121.7354592,168.8065034,219.4484544,273.8716711,332.2976276,394.959466,462.1025752,533.985198,555.3446059,577.5583901,600.6607257,624.6871548,649.674641,675.6616266,702.6880917,730.7956153,760.0274399,790.4285375
